City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
376,meulaboh,4.1363,96.1285,25.07,87,19,1.3,ID,1680119542
377,khilok,51.3674,110.4676,-1.1,91,36,1.59,RU,1680119543
378,faanui,-16.4833,-151.75,28.08,74,84,4.74,PF,1680119543
379,shenjiamen,29.9576,122.298,10.72,94,100,5.97,CN,1680119543
380,champerico,14.3,-91.9167,35.3,65,5,6.6,GT,1680119544
381,yulara,-25.2406,130.9889,21.02,45,83,6.23,AU,1680119544
382,polunochnoye,60.8697,60.4153,-13.57,96,13,1.32,RU,1680119544
383,west wendover,40.7391,-114.0733,11.56,32,100,2.06,US,1680119545
384,berlevag,70.8578,29.0864,-2.0,93,75,11.32,NO,1680119545
385,nhulunbuy,-12.2333,136.7667,25.34,94,21,2.06,AU,1680119545
386,yining,29.0361,114.5636,11.69,98,100,0.38,CN,1680119545
387,turukhansk,65.8167,87.9833,-26.11,100,97,2.56,RU,1680119546
388,gat,31.61,34.7642,14.38,100,78,6.36,IL,1680119281
389,provost,52.3501,-110.2683,-1.75,84,78,4.04,CA,1680119546
390,laiyang,36.9758,120.7136,7.34,45,39,1.28,CN,1680119546
391,nizhniy ingash,56.2,96.53,5.27,80,27,4.09,RU,1680119547
392,ambovombe,-25.1667,46.0833,21.02,79,3,3.31,MG,1680119547
393,port augusta,-32.5,137.7667,14.72,78,54,2.15,AU,1680119547
394,amot,59.5714,7.9877,-4.9,98,100,1.54,NO,1680119547
395,wattegama,6.7989,81.4808,22.16,88,57,0.79,LK,1680119548
396,triunfo,-29.9433,-51.7181,30.1,69,89,5.91,BR,1680119548
397,aguilar de la frontera,37.5143,-4.6554,16.03,38,75,2.98,ES,1680119548
398,cabo san lucas,22.8909,-109.9124,28.12,38,100,3.03,MX,1680119468
399,puerto escondido,15.85,-97.0667,30.43,57,2,4.05,MX,1680119549
400,kalmunai,7.4167,81.8167,24.26,80,10,0.96,LK,1680119549
401,olinda,-8.0089,-34.8553,25.85,83,75,3.6,BR,1680119012
402,vao,-22.6667,167.4833,24.57,77,64,3.78,NC,1680119549
403,beaupre,47.0443,-70.8953,6.03,48,95,1.54,CA,1680119550
404,mackay,-21.15,149.2,22.05,86,2,2.35,AU,1680119550
405,paso de los toros,-32.8167,-56.5167,29.69,48,12,2.9,UY,1680119550
406,ahuimanu,21.4447,-157.8378,26.84,86,100,6.17,US,1680119550
407,erzin,36.9559,36.2,9.89,76,85,2.64,TR,1680119551
408,colares,38.7992,-9.4469,18.52,83,40,5.36,PT,1680119522
409,srednekolymsk,67.45,153.6833,-21.86,97,99,2.63,RU,1680119551
410,grindavik,63.8424,-22.4338,4.97,87,75,6.69,IS,1680119551
411,harnosand,62.6323,17.9379,-7.0,81,9,3.51,SE,1680119274
412,graciano sanchez,23.9167,-99.2833,24.67,60,98,3.0,MX,1680119552
413,road town,18.4167,-64.6167,28.05,57,20,4.63,VG,1680119470
414,puerto quijarro,-17.7833,-57.7667,31.74,55,97,1.75,BO,1680119552
415,bandarbeyla,9.4942,50.8122,27.19,73,21,3.08,SO,1680119552
416,lac-megantic,45.5834,-70.8823,3.19,85,90,2.97,CA,1680119286
417,telimele,10.9167,-13.3333,26.81,48,70,3.38,GN,1680119553
418,bako,5.7833,36.5667,17.72,86,30,2.17,ET,1680119553
419,kyzyl-suu,42.3414,78.0056,7.41,48,100,3.31,KG,1680119554
